"Code","Class","Order","Suborder","Family","Subfamily","Genus","Species","SpeciesEpithet","Seeds","Fruits","Leaves","Flowers","Nectar","Insects","Arachnids","Centipedes","Fishes","Amphibians","Reptiles","Birds","Mammals"
"YAN010101002","Mammalia","Chiroptera","Yangochiroptera","Emballonuridae","Taphozoninae","Taphozous","perforatus","Taphozous_perforatus",0,0,0,0,0,2,0,0,0,0,0,0,0
"YAN010101003","Mammalia","Chiroptera","Yangochiroptera","Emballonuridae","Taphozoninae","Taphozous","mauritianus","Taphozous_mauritianus",0,0,0,0,0,2,0,0,0,0,0,0,0
"YAN010101004","Mammalia","Chiroptera","Yangochiroptera","Emballonuridae","Taphozoninae","Taphozous","hamiltoni","Taphozous_hamiltoni",0,0,0,0,0,2,2,2,0,0,0,0,0
"YAN010101005","Mammalia","Chiroptera","Yangochiroptera","Emballonuridae","Taphozoninae","Taphozous","hildegardeae","Taphozous_hildegardeae",0,0,0,0,0,2,0,0,0,0,0,0,0
"YAN010102001","Mammalia","Chiroptera","Yangochiroptera","Emballonuridae","Taphozoninae","Saccolaimus","peli","Saccolaimus_peli",0,0,0,0,0,2,0,0,0,0,0,0,0
"YAN010201001","Mammalia","Chiroptera","Yangochiroptera","Emballonuridae","Emballonurinae","Paremballonura","tiavato","Paremballonura_tiavato",0,0,0,0,0,2,0,0,0,0,0,0,0
"YAN010201002","Mammalia","Chiroptera","Yangochiroptera","Emballonuridae","Emballonurinae","Paremballonura","atrata","Paremballonura_atrata",0,0,0,0,0,2,0,0,0,0,0,0,0
"YAN010202001","Mammalia","Chiroptera","Yangochiroptera","Emballonuridae","Emballonurinae","Coleura","afra","Coleura_afra",0,0,0,0,0,2,0,0,0,0,0,0,0
"YAN010202002","Mammalia","Chiroptera","Yangochiroptera","Emballonuridae","Emballonurinae","Coleura","seychellensis","Coleura_seychellensis",0,0,0,0,0,2,0,0,0,0,0,0,0
"YAN010202003","Mammalia","Chiroptera","Yangochiroptera","Emballonuridae","Emballonurinae","Coleura","kibomalandy","Coleura_kibomalandy",0,0,0,0,0,2,0,0,0,0,0,0,0
"YAN020001001","Mammalia","Chiroptera","Yangochiroptera","Nycteridae",NA,"Nycteris","arge","Nycteris_arge",0,0,0,0,0,2,2,2,0,0,0,0,0
"YAN020001002","Mammalia","Chiroptera","Yangochiroptera","Nycteridae",NA,"Nycteris","intermedia","Nycteris_intermedia",0,0,0,0,0,2,2,2,0,0,0,0,0
"YAN020001003","Mammalia","Chiroptera","Yangochiroptera","Nycteridae",NA,"Nycteris","nana","Nycteris_nana",0,0,0,0,0,2,2,2,0,0,0,0,0
"YAN020001004","Mammalia","Chiroptera","Yangochiroptera","Nycteridae",NA,"Nycteris","major","Nycteris_major",0,0,0,0,0,2,2,2,0,0,0,0,0
"YAN020001005","Mammalia","Chiroptera","Yangochiroptera","Nycteridae",NA,"Nycteris","aurita","Nycteris_aurita",0,0,0,0,0,2,2,2,0,0,0,0,0
"YAN020001006","Mammalia","Chiroptera","Yangochiroptera","Nycteridae",NA,"Nycteris","grandis","Nycteris_grandis",0,0,0,0,0,1,1,1,2,2,0,1,1
"YAN020001007","Mammalia","Chiroptera","Yangochiroptera","Nycteridae",NA,"Nycteris","hispida","Nycteris_hispida",0,0,0,0,0,2,0,0,0,0,0,0,0
"YAN020001008","Mammalia","Chiroptera","Yangochiroptera","Nycteridae",NA,"Nycteris","macrotis","Nycteris_macrotis",0,0,0,0,0,2,0,0,0,0,0,0,0
"YAN020001009","Mammalia","Chiroptera","Yangochiroptera","Nycteridae",NA,"Nycteris","madagascariensis","Nycteris_madagascariensis",0,0,0,0,0,2,2,2,0,0,0,0,0
"YAN020001010","Mammalia","Chiroptera","Yangochiroptera","Nycteridae",NA,"Nycteris","parisii","Nycteris_parisii",0,0,0,0,0,2,2,2,0,0,0,0,0
"YAN020001011","Mammalia","Chiroptera","Yangochiroptera","Nycteridae",NA,"Nycteris","woodi","Nycteris_woodi",0,0,0,0,0,2,0,0,0,0,0,0,0
"YAN020001012","Mammalia","Chiroptera","Yangochiroptera","Nycteridae",NA,"Nycteris","gambiensis","Nycteris_gambiensis",0,0,0,0,0,2,2,2,0,0,0,0,0
"YAN020001013","Mammalia","Chiroptera","Yangochiroptera","Nycteridae",NA,"Nycteris","thebaica","Nycteris_thebaica",0,0,0,0,0,2,2,2,0,0,0,0,0
"YAN030001001","Mammalia","Chiroptera","Yangochiroptera","Myzopodidae",NA,"Myzopoda","schliemanni","Myzopoda_schliemanni",0,0,0,0,0,2,0,0,0,0,0,0,0
"YAN030001002","Mammalia","Chiroptera","Yangochiroptera","Myzopodidae",NA,"Myzopoda","aurita","Myzopoda_aurita",0,0,0,0,0,2,2,0,0,0,0,0,0
